186 37 | -125 143 | -61 -180
158 106 | -170 84 | 12 -190
106 158 | -190 12 | 84 -170
37 186 | -180 -61 | 143 -125
-37 186 | -143 -125 | 180 -61
-106 158 | -84 -170 | 190 12
-158 106 | -12 -190 | 170 84
-186 37 | 61 -180 | 125 143
-186 -37 | 61 -180 | 125 143
-158 -106 | 170 -84 | -12 190
-106 -158 | 190 -12 | -84 170
-37 -186 | 180 61 | -143 125
37 -186 | 143 125 | -180 61
106 -158 | 84 170 | -190 -12
158 -106 | 12 190 | -170 -84
186 -37 | -61 180 | -125 -143
